match_id,date,season,venue,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,toss_win_match_win,winner_short,venue_short
1082591,2017-04-05,2017,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,35.0,,Yuvraj Singh,False,SRH,Rajiv Gandhi International Stadium
1082592,2017-04-06,2017,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,field,Rising Pune Supergiants,,7.0,SPD Smith,True,RPS,Maharashtra Cricket Association Stadium
1082593,2017-04-07,2017,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,10.0,CA Lynn,True,KKR,Saurashtra Cricket Association Stadium
1082594,2017-04-08,2017,Holkar Cricket Stadium,Indore,Punjab Kings,Rising Pune Supergiants,Punjab Kings,field,Punjab Kings,,6.0,GJ Maxwell,True,PBKS,Holkar Cricket Stadium
1082595,2017-04-08,2017,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,15.0,,KM Jadhav,True,RCB,M.Chinnaswamy Stadium
1082596,2017-04-09,2017,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,9.0,Rashid Khan,True,SRH,Rajiv Gandhi International Stadium
1082597,2017-04-09,2017,Wankhede Stadium,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,,4.0,N Rana,True,MI,Wankhede Stadium
1082598,2017-04-10,2017,Holkar Cricket Stadium,Indore,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Punjab Kings,,8.0,AR Patel,False,PBKS,Holkar Cricket Stadium
1082599,2017-04-11,2017,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiants,Delhi Capitals,Rising Pune Supergiants,field,Delhi Capitals,97.0,,SV Samson,False,DC,Maharashtra Cricket Association Stadium
1082600,2017-04-12,2017,Wankhede Stadium,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,,4.0,JJ Bumrah,True,MI,Wankhede Stadium
1082601,2017-04-13,2017,Eden Gardens,Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,,8.0,SP Narine,True,KKR,Eden Gardens
1082602,2017-04-14,2017,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,4.0,KA Pollard,True,MI,M Chinnaswamy Stadium
1082603,2017-04-14,2017,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,field,Gujarat Lions,,7.0,AJ Tye,True,GL,Saurashtra Cricket Association Stadium
1082604,2017-04-15,2017,Eden Gardens,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,17.0,,RV Uthappa,False,KKR,Eden Gardens
1082605,2017-04-15,2017,Feroz Shah Kotla,Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,51.0,,CJ Anderson,True,DC,Feroz Shah Kotla
1082606,2017-04-16,2017,Wankhede Stadium,Mumbai,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,,6.0,N Rana,True,MI,Wankhede Stadium
1082607,2017-04-16,2017,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Rising Pune Supergiants,Royal Challengers Bengaluru,field,Rising Pune Supergiants,27.0,,BA Stokes,False,RPS,M Chinnaswamy Stadium
1082608,2017-04-17,2017,Feroz Shah Kotla,Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,,4.0,NM Coulter-Nile,False,KKR,Feroz Shah Kotla
1082609,2017-04-17,2017,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,5.0,,B Kumar,False,SRH,Rajiv Gandhi International Stadium
1082610,2017-04-18,2017,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Royal Challengers Bengaluru,Gujarat Lions,field,Royal Challengers Bengaluru,21.0,,CH Gayle,False,RCB,Saurashtra Cricket Association Stadium
1082611,2017-04-19,2017,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,15.0,,KS Williamson,True,SRH,Rajiv Gandhi International Stadium
1082612,2017-04-20,2017,Holkar Cricket Stadium,Indore,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,8.0,JC Buttler,True,MI,Holkar Cricket Stadium
1082613,2017-04-21,2017,Eden Gardens,Kolkata,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,,4.0,SK Raina,True,GL,Eden Gardens
1082614,2017-04-22,2017,Wankhede Stadium,Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,14.0,,MJ McClenaghan,False,MI,Wankhede Stadium
1082615,2017-04-22,2017,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiants,Sunrisers Hyderabad,Rising Pune Supergiants,field,Rising Pune Supergiants,,6.0,MS Dhoni,True,RPS,Maharashtra Cricket Association Stadium
1082616,2017-04-23,2017,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Punjab Kings,Gujarat Lions,field,Punjab Kings,26.0,,HM Amla,False,PBKS,Saurashtra Cricket Association Stadium
