batter,runs,balls,fours,sixes,innings,strike_rate
V Kohli,9050,6942,816,307,268,130.37
RG Sharma,7269,5605,659,318,271,129.69
S Dhawan,6769,5483,768,153,221,123.45
DA Warner,6567,4849,663,236,184,135.43
KL Rahul,5680,4205,497,232,145,135.08
SK Raina,5536,4177,506,204,200,132.54
MS Dhoni,5439,4101,375,264,241,132.63
AM Rahane,5237,4296,527,134,192,121.9
AB de Villiers,5181,3487,414,253,170,148.58
SV Samson,5106,3721,421,240,181,137.22
CH Gayle,4997,3516,408,359,141,142.12
RV Uthappa,4954,3927,481,182,197,126.15
KD Karthik,4843,3687,466,161,233,131.35
F du Plessis,4773,3605,440,174,147,132.4
SA Yadav,4506,3103,477,173,161,145.21
JC Buttler,4456,3080,442,202,129,144.68
AT Rayudu,4348,3490,359,173,185,124.58
Shubman Gill,4244,3119,407,136,123,136.07
G Gambhir,4217,3524,492,59,151,119.67
SS Iyer,4068,3116,337,174,140,130.55
