bowler,wickets,runs_conceded,balls,innings,overs,economy,avg
YS Chahal,238,5402,4099,181,683.1666666666666,7.91,22.7
B Kumar,231,5808,4596,199,766.0,7.58,25.14
SP Narine,223,5244,4610,195,768.3333333333334,6.83,23.52
DJ Bravo,207,4436,3296,158,549.3333333333334,8.08,21.43
JJ Bumrah,207,4497,3715,155,619.1666666666666,7.26,21.72
R Ashwin,205,5721,4868,217,811.3333333333334,7.05,27.91
PP Chawla,201,5179,3895,191,649.1666666666666,7.98,25.77
SL Malinga,188,3486,2974,122,495.6666666666667,7.03,18.54
RA Jadeja,186,5418,4261,233,710.1666666666666,7.63,29.13
A Mishra,183,4193,3444,162,574.0,7.3,22.91
Rashid Khan,177,4177,3465,146,577.5,7.23,23.6
Sandeep Sharma,169,4316,3277,141,546.1666666666666,7.9,25.54
HV Patel,168,3764,2630,120,438.3333333333333,8.59,22.4
UT Yadav,163,4442,3190,147,531.6666666666666,8.35,27.25
Harbhajan Singh,161,4101,3496,160,582.6666666666666,7.04,25.47
Mohammed Shami,158,4144,2933,128,488.8333333333333,8.48,26.23
TA Boult,153,3994,2892,124,482.0,8.29,26.1
MM Sharma,149,3537,2471,119,411.8333333333333,8.59,23.74
AR Patel,146,4406,3567,170,594.5,7.41,30.18
K Rabada,144,3180,2239,94,373.1666666666667,8.52,22.08
