season,win_rate,matches
2008,48.275862068965516,58
2009,58.92857142857143,56
2010,52.54237288135594,59
2011,52.77777777777778,72
2012,44.5945945945946,74
2013,47.2972972972973,74
2014,49.152542372881356,59
2015,48.214285714285715,56
2016,56.666666666666664,60
2017,58.620689655172406,58
2018,53.333333333333336,60
2019,59.64912280701754,57
2020,44.642857142857146,56
2021,57.6271186440678,59
2022,48.64864864864865,74
2023,46.57534246575342,73
2024,43.66197183098591,71
2025,61.42857142857143,70
2026,51.06382978723404,47
